sections: {'OS': 1, '0x0a01': 43, 'REGS': 9, 'INDEXED_REGS': 4, '0x0901': 2, '0x1201': 135, 'GMU_MEM': 38, 'MEMLIST_V2': 11, 'RB_V2': 2, 'MVC_V2': 2, 'IB_V2': 2, 'SIDEBAND2': 1}
total regs: 1625
  0x00c5a = 0x00000000  
  0x00c5b = 0x00000000  
  0x00c5c = 0x00000000  
  0x00c5d = 0x00000000  
  0x00c5e = 0x00000000  
  0x00c5f = 0x00000000  
  0x00c60 = 0x00000000  
  0x00c61 = 0x00000000  
  0x00c62 = 0x00000000  
  0x00c63 = 0x00000000  
  0x00c64 = 0x00000000  
  0x00c65 = 0x00000000  
  0x00c66 = 0x00000000  
  0x00c67 = 0x00000000  
  0x00c68 = 0x00000000  
  0x00c69 = 0x00000000  
  0x00c6a = 0x00000000  
  0x00c6b = 0x00000000  
  0x00c6c = 0x00000000  
  0x00c6d = 0x00000000  
  0x00c6e = 0x00000000  
  0x00c6f = 0x00000000  
  0x00c70 = 0x00000000  
  0x00c71 = 0x00000000  
  0x00c72 = 0x00000000  
  0x00c73 = 0x00000000  
  0x00c74 = 0x00000000  
  0x00c75 = 0x00000000  
  0x00c76 = 0x00000000  
  0x00c77 = 0x00000000  
  0x00c78 = 0x00000000  
  0x00c79 = 0x00000000  
  0x00c7a = 0x00000000  
  0x00c7b = 0x00000000  
  0x00c7c = 0x00000000  
  0x00c7d = 0x00000000  
  0x00c7e = 0x00000000  
  0x00c7f = 0x00000000  
  0x00c80 = 0x00000000  
  0x00c81 = 0x00000000  
  0x00c82 = 0x00000000  
  0x00c83 = 0x00000000  
  0x00c84 = 0x00000000  
  0x00c85 = 0x00000000  
  0x00c86 = 0x00000000  
  0x00c87 = 0x00000000  
  0x00c88 = 0x00000000  
  0x00c89 = 0x00000000  
  0x00c8a = 0x00000000  
  0x00c8b = 0x00000000  
  0x00c8c = 0x00000000  
  0x00c8d = 0x00000000  
  0x00c8e = 0x00000000  
  0x00c8f = 0x00000000  
  0x00c90 = 0x00000000  
  0x00c91 = 0x00000000  
  0x00c92 = 0x00000000  
  0x00c93 = 0x00000000  
